UavLatititud,UavLongitud,VideoRecordTime,FlyTime,DateTime,VideoNumber
59.405425,9.135482,1,134.7,01-22-2020 12:28:09.937 PM,1
59.405425,9.135482,1,134.8,01-22-2020 12:28:10.043 PM,1
59.405425,9.135482,1,134.9,01-22-2020 12:28:10.150 PM,1
59.405425,9.135482,1,135,01-22-2020 12:28:10.256 PM,1
59.405425,9.135482,1,135.1,01-22-2020 12:28:10.367 PM,1
59.405425,9.135482,1,135.2,01-22-2020 12:28:10.471 PM,1
59.405425,9.135482,1,135.3,01-22-2020 12:28:10.581 PM,1
59.405425,9.135482,1,135.4,01-22-2020 12:28:10.685 PM,1
59.405425,9.135482,1,135.5,01-22-2020 12:28:10.793 PM,1
59.405425,9.135482,1,135.6,01-22-2020 12:28:10.903 PM,1
59.405426,9.135481,2,135.7,01-22-2020 12:28:11.007 PM,1
59.405426,9.135481,2,135.8,01-22-2020 12:28:11.007 PM,1
59.405427,9.13548,2,135.9,01-22-2020 12:28:11.120 PM,1
59.405428,9.13548,2,136,01-22-2020 12:28:11.228 PM,1
59.405429,9.135479,2,136.1,01-22-2020 12:28:11.339 PM,1
59.405429,9.135478,2,136.2,01-22-2020 12:28:11.447 PM,1
59.405431,9.135477,2,136.3,01-22-2020 12:28:11.551 PM,1
59.405432,9.135476,2,136.4,01-22-2020 12:28:11.653 PM,1
59.405433,9.135475,2,136.5,01-22-2020 12:28:11.764 PM,1
59.405435,9.135473,2,136.6,01-22-2020 12:28:11.872 PM,1
59.405436,9.135472,3,136.7,01-22-2020 12:28:11.974 PM,1
59.405438,9.13547,3,136.8,01-22-2020 12:28:12.073 PM,1
59.40544,9.135468,3,136.9,01-22-2020 12:28:12.182 PM,1
59.405442,9.135466,3,137,01-22-2020 12:28:12.287 PM,1
59.405444,9.135464,3,137.1,01-22-2020 12:28:12.493 PM,1
59.405449,9.135459,3,137.3,01-22-2020 12:28:12.600 PM,1
59.405451,9.135457,3,137.4,01-22-2020 12:28:12.701 PM,1
59.405454,9.135454,3,137.5,01-22-2020 12:28:12.701 PM,1
59.405456,9.135451,3,137.6,01-22-2020 12:28:12.911 PM,1
59.405459,9.135448,4,137.7,01-22-2020 12:28:12.911 PM,1
59.405461,9.135445,4,137.8,01-22-2020 12:28:13.017 PM,1
59.405464,9.135442,4,137.9,01-22-2020 12:28:13.127 PM,1
59.405467,9.135439,4,138,01-22-2020 12:28:13.234 PM,1
59.405469,9.135436,4,138.1,01-22-2020 12:28:13.344 PM,1
59.405472,9.135433,4,138.2,01-22-2020 12:28:13.445 PM,1
59.405474,9.13543,4,138.3,01-22-2020 12:28:13.548 PM,1
59.405477,9.135427,4,138.4,01-22-2020 12:28:13.651 PM,1
59.405479,9.135423,4,138.5,01-22-2020 12:28:13.755 PM,1
59.405482,9.13542,4,138.6,01-22-2020 12:28:13.856 PM,1
59.405484,9.135417,5,138.7,01-22-2020 12:28:13.958 PM,1
59.405486,9.135414,5,138.8,01-22-2020 12:28:14.063 PM,1
59.405488,9.135411,5,138.9,01-22-2020 12:28:14.164 PM,1
59.405491,9.135408,5,139,01-22-2020 12:28:14.273 PM,1
59.405493,9.135404,5,139.1,01-22-2020 12:28:14.374 PM,1
59.405495,9.135401,5,139.2,01-22-2020 12:28:14.487 PM,1
59.405497,9.135398,5,139.3,01-22-2020 12:28:14.594 PM,1
59.405499,9.135395,5,139.4,01-22-2020 12:28:14.696 PM,1
59.405501,9.135392,5,139.5,01-22-2020 12:28:14.805 PM,1
59.405503,9.135389,5,139.6,01-22-2020 12:28:14.805 PM,1
59.405505,9.135386,6,139.7,01-22-2020 12:28:14.919 PM,1
59.405507,9.135384,6,139.8,01-22-2020 12:28:15.132 PM,1
59.405511,9.135378,6,140,01-22-2020 12:28:15.241 PM,1
59.405513,9.135375,6,140.1,01-22-2020 12:28:15.348 PM,1
59.405515,9.135373,6,140.2,01-22-2020 12:28:15.459 PM,1
